dexnum,name,zh_name,alola,galar,hisui,paldea,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,ev_yield,catch_rate,base_friendship,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,special_group,Unnamed: 34,form_key,form_zh_name,gender_diff,appearance_diff,battle_form,notes
26,Raichu,雷丘,"雷丘
阿羅拉的樣子",,,,1.0,Electric,,Mouse Pokémon,0.8,30.0,Static,Lightning Rod,,60.0,90.0,55.0,90.0,80.0,110.0,485.0,3 Speed,75,50,243,Medium Fast,Fairy,Field,50,50.0,10,Ordinary,,,,,,,
27,Sandshrew,穿山鼠,"穿山鼠
阿羅拉的樣子",,,,1.0,Ground,,Mouse Pokémon,0.6,12.0,Sand Veil,Sand Rush,,50.0,75.0,85.0,20.0,30.0,40.0,300.0,1 Defense,255,50,60,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
28,Sandslash,穿山王,"穿山鼠
阿羅拉的樣子",,,,1.0,Ground,,Mouse Pokémon,1,29.5,Sand Veil,Sand Rush,,75.0,100.0,110.0,45.0,55.0,65.0,450.0,2 Defense,90,50,158,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
29,Nidoran♀ (female),尼多蘭,,,,,1.0,Poison,,Poison Pin Pokémon,0.4,7.0,Poison Point,Rivalry,Hustle,55.0,47.0,52.0,40.0,40.0,41.0,275.0,1 HP,235,50,55,Medium Slow,Field,Monster,0,100.0,20,Ordinary,,,,,,,
30,Nidorina,尼多娜,,,,,1.0,Poison,,Poison Pin Pokémon,0.8,20.0,Poison Point,Rivalry,Hustle,70.0,62.0,67.0,55.0,55.0,56.0,365.0,2 HP,120,50,128,Medium Slow,Undiscovered,,0,100.0,20,Ordinary,,,,,,,
31,Nidoqueen,尼多后,,,,,1.0,Poison,Ground,Drill Pokémon,1.3,60.0,Poison Point,Rivalry,Sheer Force,90.0,92.0,87.0,75.0,85.0,76.0,505.0,3 HP,45,50,227,Medium Slow,Undiscovered,,0,100.0,20,Ordinary,,,,,,,
32,Nidoran♂ (male),尼多朗,,,,,1.0,Poison,,Poison Pin Pokémon,0.5,9.0,Poison Point,Rivalry,Hustle,46.0,57.0,40.0,40.0,40.0,50.0,273.0,1 Attack,235,50,55,Medium Slow,Field,Monster,100,0.0,20,Ordinary,,,,,,,
33,Nidorino,尼多力諾,,,,,1.0,Poison,,Poison Pin Pokémon,0.9,19.5,Poison Point,Rivalry,Hustle,61.0,72.0,57.0,55.0,55.0,65.0,365.0,2 Attack,120,50,128,Medium Slow,Field,Monster,100,0.0,20,Ordinary,,,,,,,
34,Nidoking,尼多王,,,,,1.0,Poison,Ground,Drill Pokémon,1.4,62.0,Poison Point,Rivalry,Sheer Force,81.0,102.0,77.0,85.0,75.0,85.0,505.0,3 Attack,45,50,227,Medium Slow,Field,Monster,100,0.0,20,Ordinary,,,,,,,
35,Clefairy,皮皮,,,,,1.0,Fairy,,Fairy Pokémon,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,70.0,45.0,48.0,60.0,65.0,35.0,323.0,2 HP,150,140,113,Fast,Fairy,,25,75.0,10,Ordinary,,,,,,,
36,Clefable,皮可西,,,,,1.0,Fairy,,Fairy Pokémon,1.3,40.0,Cute Charm,Magic Guard,Unaware,95.0,70.0,73.0,95.0,90.0,60.0,483.0,3 HP,25,140,217,Fast,Fairy,,25,75.0,10,Ordinary,,,,,,,
37,Vulpix,六尾,"六尾
阿羅拉的樣子",,,,1.0,Fire,,Fox Pokémon,0.6,9.9,Flash Fire,Drought,,38.0,41.0,40.0,50.0,65.0,65.0,299.0,1 Speed,190,50,60,Medium Fast,Field,,25,75.0,20,Ordinary,,,,,,,
38,Ninetales,九尾,"九尾
阿羅拉的樣子",,,,1.0,Fire,,Fox Pokémon,1.1,19.9,Flash Fire,Drought,,73.0,76.0,75.0,81.0,100.0,100.0,505.0,"1 Sp. Def, 1 Speed",75,50,177,Medium Fast,Field,,25,75.0,20,Ordinary,,,,,,,
39,Jigglypuff,胖丁,,,,,1.0,Normal,Fairy,Balloon Pokémon,0.5,5.5,Cute Charm,Competitive,Friend Guard,115.0,45.0,20.0,45.0,25.0,20.0,270.0,2 HP,170,50,95,Fast,Fairy,,25,75.0,10,Ordinary,,,,,,,
40,Wigglytuff,胖可丁,,,,,1.0,Normal,Fairy,Balloon Pokémon,1,12.0,Cute Charm,Competitive,Frisk,140.0,70.0,45.0,85.0,50.0,45.0,435.0,3 HP,50,50,218,Fast,Fairy,,25,75.0,10,Ordinary,,,,,,,
41,Zubat,超音蝠,,,,,1.0,Poison,Flying,Bat Pokémon,0.8,7.5,Inner Focus,Infiltrator,,40.0,45.0,35.0,30.0,40.0,55.0,245.0,1 Speed,255,50,49,Medium Fast,Flying,,50,50.0,15,Ordinary,,,,,,,
42,Golbat,大嘴蝠,,,,,1.0,Poison,Flying,Bat Pokémon,1.6,55.0,Inner Focus,Infiltrator,,75.0,80.0,70.0,65.0,75.0,90.0,455.0,2 Speed,90,50,159,Medium Fast,Flying,,50,50.0,15,Ordinary,,,,,,,
43,Oddish,走路草,,,,,1.0,Grass,Poison,Weed Pokémon,0.5,5.4,Chlorophyll,Run Away,,45.0,50.0,55.0,75.0,65.0,30.0,320.0,1 Sp. Atk,255,50,64,Medium Slow,Grass,,50,50.0,20,Ordinary,,,,,,,
44,Gloom,臭臭花,,,,,1.0,Grass,Poison,Weed Pokémon,0.8,8.6,Chlorophyll,Stench,,60.0,65.0,70.0,85.0,75.0,40.0,395.0,2 Sp. Atk,120,50,138,Medium Slow,Grass,,50,50.0,20,Ordinary,,,,,,,
45,Vileplume,霸王花,,,,,1.0,Grass,Poison,Flower Pokémon,1.2,18.6,Chlorophyll,Effect Spore,,75.0,80.0,85.0,110.0,90.0,50.0,490.0,3 Sp. Atk,45,50,221,Medium Slow,Grass,,50,50.0,20,Ordinary,,,,,,,
46,Paras,派拉斯,,,,,1.0,Bug,Grass,Mushroom Pokémon,0.3,5.4,Effect Spore,Dry Skin,Damp,35.0,70.0,55.0,45.0,55.0,25.0,285.0,1 Attack,190,50,57,Medium Fast,Bug,Grass,50,50.0,20,Ordinary,,,,,,,
47,Parasect,派拉斯特,,,,,1.0,Bug,Grass,Mushroom Pokémon,1,29.5,Effect Spore,Dry Skin,Damp,60.0,95.0,80.0,60.0,80.0,30.0,405.0,"2 Attack, 1 Defense",75,50,142,Medium Fast,Bug,Grass,50,50.0,20,Ordinary,,,,,,,
48,Venonat,毛球,,,,,1.0,Bug,Poison,Insect Pokémon,1,30.0,Compound Eyes,Tinted Lens,Run Away,60.0,55.0,50.0,40.0,55.0,45.0,305.0,1 Sp. Def,190,50,61,Medium Fast,Bug,,50,50.0,20,Ordinary,,,,,,,
49,Venomoth,摩魯蛾,,,,,1.0,Bug,Poison,Poison Moth Pokémon,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,70.0,65.0,60.0,90.0,75.0,90.0,450.0,"1 Sp. Atk, 1 Speed",75,50,158,Medium Fast,Bug,,50,50.0,20,Ordinary,,,,,,,
50,Diglett,地鼠,"地鼠
阿羅拉的樣子",,,,1.0,Ground,,Mole Pokémon,0.2,0.8,Sand Veil,Arena Trap,Sand Force,10.0,55.0,25.0,35.0,45.0,95.0,265.0,1 Speed,255,50,53,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
51,Dugtrio,三地鼠,"三地鼠
阿羅拉的樣子",,,,1.0,Ground,,Mole Pokémon,0.7,33.3,Sand Veil,Arena Trap,Sand Force,35.0,100.0,50.0,50.0,70.0,120.0,425.0,2 Speed,50,50,149,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
52,Meowth,喵喵,"喵喵
阿羅拉的樣子","喵喵
伽勒爾的樣子",,,1.0,Normal,,Scratch Cat Pokémon,0.4,4.2,Pickup,Technician,Unnerve,40.0,45.0,35.0,40.0,40.0,90.0,290.0,1 Speed,255,50,58,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
53,Persian,貓老大,"貓老大
阿羅拉的樣子",,,,1.0,Normal,,Classy Cat Pokémon,1,32.0,Limber,Technician,Unnerve,65.0,70.0,60.0,65.0,65.0,115.0,440.0,2 Speed,90,50,154,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
54,Psyduck,可達鴨,,,,,1.0,Water,,Duck Pokémon,0.8,19.6,Damp,Cloud Nine,Swift Swim,50.0,52.0,48.0,65.0,50.0,55.0,320.0,1 Sp. Atk,190,50,64,Medium Fast,Field,Water 1,50,50.0,20,Ordinary,,,,,,,
55,Golduck,哥達鴨,,,,,1.0,Water,,Duck Pokémon,1.7,76.6,Damp,Cloud Nine,Swift Swim,80.0,82.0,78.0,95.0,80.0,85.0,500.0,2 Sp. Atk,75,50,175,Medium Fast,Field,Water 1,50,50.0,20,Ordinary,,,,,,,
56,Mankey,猴怪,,,,,1.0,Fighting,,Pig Monkey Pokémon,0.5,28.0,Vital Spirit,Anger Point,Defiant,40.0,80.0,35.0,35.0,45.0,70.0,305.0,1 Attack,190,50,61,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
57,Primeape,火爆猴,,,,,1.0,Fighting,,Pig Monkey Pokémon,1,32.0,Vital Spirit,Anger Point,Defiant,65.0,105.0,60.0,60.0,70.0,95.0,455.0,2 Attack,75,50,159,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
58,Growlithe,卡蒂狗,,,"卡蒂狗
洗翠的樣子",,1.0,Fire,,Puppy Pokémon,0.7,19.0,Intimidate,Flash Fire,Justified,55.0,70.0,45.0,70.0,50.0,60.0,350.0,1 Attack,190,50,70,Slow,Field,,75,25.0,20,Ordinary,,,,,,,
59,Arcanine,風速狗,,,"風速狗
洗翠的樣子",,1.0,Fire,,Legendary Pokémon,1.9,155.0,Intimidate,Flash Fire,Justified,90.0,110.0,80.0,100.0,80.0,95.0,555.0,2 Attack,75,50,194,Slow,Field,,75,25.0,20,Ordinary,,,,,,,
60,Poliwag,蚊香蝌蚪,,,,,1.0,Water,,Tadpole Pokémon,0.6,12.4,Water Absorb,Damp,Swift Swim,40.0,50.0,40.0,40.0,40.0,90.0,300.0,1 Speed,255,50,60,Medium Slow,Water 1,,50,50.0,20,Ordinary,,,,,,,
61,Poliwhirl,蚊香君,,,,,1.0,Water,,Tadpole Pokémon,1,20.0,Water Absorb,Damp,Swift Swim,65.0,65.0,65.0,50.0,50.0,90.0,385.0,2 Speed,120,50,135,Medium Slow,Water 1,,50,50.0,20,Ordinary,,,,,,,
62,Poliwrath,蚊香勇士,,,,,1.0,Water,Fighting,Tadpole Pokémon,1.3,54.0,Water Absorb,Damp,Swift Swim,90.0,95.0,95.0,70.0,90.0,70.0,510.0,3 Defense,45,50,230,Medium Slow,Water 1,,50,50.0,20,Ordinary,,,,,,,
63,Abra,凱西,,,,,1.0,Psychic,,Psi Pokémon,0.9,19.5,Synchronize,Inner Focus,Magic Guard,25.0,20.0,15.0,105.0,55.0,90.0,310.0,1 Sp. Atk,200,50,62,Medium Slow,Human-Like,,75,25.0,20,Ordinary,,,,,,,
64,Kadabra,勇基拉,,,,,1.0,Psychic,,Psi Pokémon,1.3,56.5,Synchronize,Inner Focus,Magic Guard,40.0,35.0,30.0,120.0,70.0,105.0,400.0,2 Sp. Atk,100,50,140,Medium Slow,Human-Like,,75,25.0,20,Ordinary,,,,,,,
65,Alakazam,胡地,,,,,1.0,Psychic,,Psi Pokémon,1.5,48.0,Synchronize,Inner Focus,Magic Guard,55.0,50.0,45.0,135.0,95.0,120.0,500.0,3 Sp. Atk,50,50,225,Medium Slow,Human-Like,,75,25.0,20,Ordinary,,,,,,,
66,Machop,腕力,,,,,1.0,Fighting,,Superpower Pokémon,0.8,19.5,Guts,No Guard,Steadfast,70.0,80.0,50.0,35.0,35.0,35.0,305.0,1 Attack,180,50,61,Medium Slow,Human-Like,,75,25.0,20,Ordinary,,,,,,,
67,Machoke,豪力,,,,,1.0,Fighting,,Superpower Pokémon,1.5,70.5,Guts,No Guard,Steadfast,80.0,100.0,70.0,50.0,60.0,45.0,405.0,2 Attack,90,50,142,Medium Slow,Human-Like,,75,25.0,20,Ordinary,,,,,,,
68,Machamp,怪力,,,,,1.0,Fighting,,Superpower Pokémon,1.6,130.0,Guts,No Guard,Steadfast,90.0,130.0,80.0,65.0,85.0,55.0,505.0,3 Attack,45,50,227,Medium Slow,Human-Like,,75,25.0,20,Ordinary,,,,,,,
69,Bellsprout,喇叭芽,,,,,1.0,Grass,Poison,Flower Pokémon,0.7,4.0,Chlorophyll,Gluttony,,50.0,75.0,35.0,70.0,30.0,40.0,300.0,1 Attack,255,50,60,Medium Slow,Grass,,50,50.0,20,Ordinary,,,,,,,
70,Weepinbell,口呆花,,,,,1.0,Grass,Poison,Flycatcher Pokémon,1,6.4,Chlorophyll,Gluttony,,65.0,90.0,50.0,85.0,45.0,55.0,390.0,2 Attack,120,50,137,Medium Slow,Grass,,50,50.0,20,Ordinary,,,,,,,
71,Victreebel,大食花,,,,,1.0,Grass,Poison,Flycatcher Pokémon,1.7,15.5,Chlorophyll,Gluttony,,80.0,105.0,65.0,100.0,70.0,70.0,490.0,3 Attack,45,50,221,Medium Slow,Grass,,50,50.0,20,Ordinary,,,,,,,
72,Tentacool,瑪瑙水母,,,,,1.0,Water,Poison,Jellyfish Pokémon,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish,40.0,40.0,35.0,50.0,100.0,70.0,335.0,1 Sp. Def,190,50,67,Slow,Water 3,,50,50.0,20,Ordinary,,,,,,,
73,Tentacruel,毒刺水母,,,,,1.0,Water,Poison,Jellyfish Pokémon,1.6,55.0,Clear Body,Liquid Ooze,Rain Dish,80.0,70.0,65.0,80.0,120.0,100.0,515.0,2 Sp. Def,60,50,180,Slow,Water 3,,50,50.0,20,Ordinary,,,,,,,
74,Geodude,小拳石,"小拳石
阿羅拉的樣子",,,,1.0,Rock,Ground,Rock Pokémon,0.4,20.0,Rock Head,Sturdy,Sand Veil,40.0,80.0,100.0,30.0,30.0,20.0,300.0,1 Defense,255,50,60,Medium Slow,Mineral,,50,50.0,15,Ordinary,,,,,,,
75,Graveler,隆隆石,"隆隆石
阿羅拉的樣子",,,,1.0,Rock,Ground,Rock Pokémon,1,105.0,Rock Head,Sturdy,Sand Veil,55.0,95.0,115.0,45.0,45.0,35.0,390.0,2 Defense,120,50,137,Medium Slow,Mineral,,50,50.0,15,Ordinary,,,,,,,
76,Golem,隆隆岩,"隆隆岩
阿羅拉的樣子",,,,1.0,Rock,Ground,Megaton Pokémon,1.4,300.0,Rock Head,Sturdy,Sand Veil,80.0,120.0,130.0,55.0,65.0,45.0,495.0,3 Defense,45,50,223,Medium Slow,Mineral,,50,50.0,15,Ordinary,,,,,,,
77,Ponyta,小火馬,,"小火馬
伽勒爾的樣子",,,1.0,Fire,,Fire Horse Pokémon,1,30.0,Run Away,Flash Fire,Flame Body,50.0,85.0,55.0,65.0,65.0,90.0,410.0,1 Speed,190,50,82,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
78,Rapidash,烈焰馬,,"烈焰馬
伽勒爾的樣子",,,1.0,Fire,,Fire Horse Pokémon,1.7,95.0,Run Away,Flash Fire,Flame Body,65.0,100.0,70.0,80.0,80.0,105.0,500.0,2 Speed,60,50,175,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
79,Slowpoke,呆呆獸,,"呆呆獸
伽勒爾的樣子",,,1.0,Water,Psychic,Dopey Pokémon,1.2,36.0,Oblivious,Own Tempo,Regenerator,90.0,65.0,65.0,40.0,40.0,15.0,315.0,1 HP,190,50,63,Medium Fast,Monster,Water 1,50,50.0,20,Ordinary,,,,,,,
80,Slowbro,呆殼獸,,"呆殼獸
伽勒爾的樣子",,,1.0,Water,Psychic,Hermit Crab Pokémon,1.6,78.5,Oblivious,Own Tempo,Regenerator,95.0,75.0,110.0,100.0,80.0,30.0,490.0,2 Defense,75,50,172,Medium Fast,Monster,Water 1,50,50.0,20,Ordinary,,,,,,,
81,Magnemite,小磁怪,,,,,1.0,Electric,Steel,Magnet Pokémon,0.3,6.0,Magnet Pull,Sturdy,Analytic,25.0,35.0,70.0,95.0,55.0,45.0,325.0,1 Sp. Atk,190,50,65,Medium Fast,Mineral,,,,20,Ordinary,,,,,,,
82,Magneton,三合一磁怪,,,,,1.0,Electric,Steel,Magnet Pokémon,1,60.0,Magnet Pull,Sturdy,Analytic,50.0,60.0,95.0,120.0,70.0,70.0,465.0,2 Sp. Atk,60,50,163,Medium Fast,Mineral,,,,20,Ordinary,,,,,,,
83,Farfetch'd,大蔥鴨,,"大蔥鴨
伽勒爾的樣子",,,1.0,Normal,Flying,Wild Duck Pokémon,0.8,15.0,Keen Eye,Inner Focus,Defiant,52.0,90.0,55.0,58.0,62.0,60.0,377.0,1 Attack,45,50,132,Medium Fast,Field,Flying,50,50.0,20,Ordinary,,,,,,,
84,Doduo,嘟嘟,,,,,1.0,Normal,Flying,Twin Bird Pokémon,1.4,39.2,Run Away,Early Bird,Tangled Feet,35.0,85.0,45.0,35.0,35.0,75.0,310.0,1 Attack,190,50,62,Medium Fast,Flying,,50,50.0,20,Ordinary,,,,,,,
85,Dodrio,嘟嘟利,,,,,1.0,Normal,Flying,Triple Bird Pokémon,1.8,85.2,Run Away,Early Bird,Tangled Feet,60.0,110.0,70.0,60.0,60.0,110.0,470.0,2 Attack,45,50,165,Medium Fast,Flying,,50,50.0,20,Ordinary,,,,,,,
86,Seel,小海獅,,,,,1.0,Water,,Sea Lion Pokémon,1.1,90.0,Thick Fat,Hydration,Ice Body,65.0,45.0,55.0,45.0,70.0,45.0,325.0,1 Sp. Def,190,50,65,Medium Fast,Field,Water 1,50,50.0,20,Ordinary,,,,,,,
87,Dewgong,白海獅,,,,,1.0,Water,Ice,Sea Lion Pokémon,1.7,120.0,Thick Fat,Hydration,Ice Body,90.0,70.0,80.0,70.0,95.0,70.0,475.0,2 Sp. Def,75,50,166,Medium Fast,Field,Water 1,50,50.0,20,Ordinary,,,,,,,
88,Grimer,臭泥,"臭泥
阿羅拉的樣子	",,,,1.0,Poison,,Sludge Pokémon,0.9,30.0,Stench,Sticky Hold,Poison Touch,80.0,80.0,50.0,40.0,50.0,25.0,325.0,1 HP,190,50,65,Medium Fast,Amorphous,,50,50.0,20,Ordinary,,,,,,,
89,Muk,臭臭泥,"臭臭泥
阿羅拉的樣子",,,,1.0,Poison,,Sludge Pokémon,1.2,30.0,Stench,Sticky Hold,Poison Touch,105.0,105.0,75.0,65.0,100.0,50.0,500.0,"1 HP, 1 Attack",75,50,175,Medium Fast,Amorphous,,50,50.0,20,Ordinary,,,,,,,
90,Shellder,大舌貝,,,,,1.0,Water,,Bivalve Pokémon,0.3,4.0,Shell Armor,Skill Link,Overcoat,30.0,65.0,100.0,45.0,25.0,40.0,305.0,1 Defense,190,50,61,Slow,Water 3,,50,50.0,20,Ordinary,,,,,,,
91,Cloyster,刺甲貝,,,,,1.0,Water,Ice,Bivalve Pokémon,1.5,132.5,Shell Armor,Skill Link,Overcoat,50.0,95.0,180.0,85.0,45.0,70.0,525.0,2 Defense,60,50,184,Slow,Water 3,,50,50.0,20,Ordinary,,,,,,,
92,Gastly,鬼斯,,,,,1.0,Ghost,Poison,Gas Pokémon,1.3,0.1,Levitate,,,30.0,35.0,30.0,100.0,35.0,80.0,310.0,1 Sp. Atk,190,50,62,Medium Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
93,Haunter,鬼斯通,,,,,1.0,Ghost,Poison,Gas Pokémon,1.6,0.1,Levitate,,,45.0,50.0,45.0,115.0,55.0,95.0,405.0,2 Sp. Atk,90,50,142,Medium Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
94,Gengar,耿鬼,,,,,1.0,Ghost,Poison,Shadow Pokémon,1.5,40.5,Cursed Body,,,60.0,65.0,60.0,130.0,75.0,110.0,500.0,3 Sp. Atk,45,50,250,Medium Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
95,Onix,大岩蛇,,,,,1.0,Rock,Ground,Rock Snake Pokémon,8.8,210.0,Rock Head,Sturdy,Weak Armor,35.0,45.0,160.0,30.0,45.0,70.0,385.0,1 Defense,45,50,77,Medium Fast,Mineral,,50,50.0,25,Ordinary,,,,,,,
